Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-542.3698	-568.8577	26.48791	0.274786	0.437853	0.562147	0.725214	3.596694	0.0669516	0.00787071	0.133757	0.0343913	0.0784085	0.0587631	0.18427	0.0609879	0.0455104	0.17894	0.167077	0.358317	0.148051	0.191848	0.0156458	0.165609	0.170179	0.0612459	0.803501	0.138202	0.304188	0.235068	0.217629	0.0887025	0.121757	0.328608	0.0130864	0.019769	0.0828164	0.200953	0.510454	0.170602	0.117991	0.198442	0.454416	0.781865	1.27899	2.20063	5.03926	1.16939	0.0149407	0.0017564	0.0298488	0.00767466	0.0174974	0.0131134	0.0411212	0.0136099	0.010156	0.0399317	0.0372843	0.079961	0.0330386	0.0428122	0.00349146	0.0369568	0.0379766	0.0136675	0.179307	0.0308407	0.0678818	0.052457	0.0485654	0.0197946	0.0271708	0.0733312	0.00292033	0.00441159	0.0184811	4.481149
36	-539.9701	-567.6535	27.68332	0.236288	0.424792	0.575208	0.763712	2.509996	0.000302148	0.00104281	0.000210572	0.000480801	0.00332741	0.000328046	0.0010924	0.000163407	0.000296519	0.00111332	0.00135093	0.00113031	0.000144068	0.00164588	0.000195737	0.00284755	5.28768e-05	9.57513e-05	0.00103109	0.00146143	0.000779067	0.00132741	0.00254217	0.000249263	0.0001277	0.000777142	0.00176987	3.81411e-05	0.000175678	0.19963	0.359853	0.427271	0.013246	0.00232461	0.0519472	0.397447	2.51606	19.2503	430.18	4.384837	0.0115768	0.0399552	0.00806804	0.0184219	0.12749	0.0125691	0.0418552	0.00626091	0.0113611	0.0426567	0.0517608	0.0433078	0.00551993	0.0630619	0.00749966	0.109104	0.00202597	0.0036687	0.039506	0.0559945	0.0298499	0.0508596	0.0974029	0.0095505	0.00489282	0.0297761	0.0678123	0.00146137	0.0067311	0.0260995
72	-542.0193	-569.8404	27.82102	0.176396	0.401039	0.598962	0.823603	1.515635	0.000200906	0.000607393	0.00138722	0.000200038	0.000972941	0.000597263	0.00166382	0.000168175	0.000366229	0.00102938	0.000401497	0.000388233	0.00113734	0.00309832	9.27963e-05	0.00211529	0.000844111	0.00103042	0.000291137	0.000954922	0.000833606	0.00128912	0.000442272	0.00106119	9.72463e-05	0.000952301	0.000462976	0.00235842	0.000445273	0.0967067	0.498691	0.338166	0.0664363	0.0010301	0.0349281	0.351154	2.84776	28.6303	970.776	4.973337	0.0078818	0.0238288	0.0544224	0.00784774	0.0381698	0.0234314	0.0652739	0.00659774	0.0143677	0.0403837	0.0157513	0.0152309	0.0446192	0.121551	0.00364052	0.0829857	0.0331156	0.0404248	0.0114217	0.0374629	0.0327035	0.0505738	0.0173509	0.041632	0.0038151	0.03736	0.0181631	0.0925241	0.0174686	0.02548984
108	-533.4358	-563.0306	29.59479	0.100979	0.359736	0.640264	0.899021	0.817873	0.000289816	0.000181784	0.00161399	0.000185735	0.0024292	0.00064212	0.0019754	1.52318e-05	0.000573869	0.00118373	0.000836987	0.000627575	0.0019384	0.00266917	6.65981e-05	0.00153757	0.00143347	0.00112854	0.000857153	0.00180774	0.000255491	0.00225461	0.000589258	0.000681198	6.58341e-06	0.000502164	0.00107734	0.00279283	0.000985944	0.0820832	0.714075	0.128875	0.0749672	0.00367663	0.0649626	0.42616	2.34654	15.3935	271.988	4.05335	0.00930704	0.00583772	0.0518308	0.00596461	0.0780102	0.0206208	0.063437	0.000489147	0.018429	0.0380136	0.0268786	0.0201537	0.062249	0.0857166	0.0021387	0.0493768	0.0460339	0.0362415	0.0275262	0.0580529	0.00820472	0.0724036	0.0189232	0.0218757	0.000211417	0.0161263	0.0345973	0.0896878	0.0316622	0.0311395
144	-535.9543	-561.3584	25.40411	0.35404	0.46156	0.538441	0.645959	9.107709	0.000737467	0.000130348	0.000340128	0.001027	0.00198803	0.000206119	0.00236347	5.5221e-05	0.000737329	0.00033655	0.00135317	0.000583359	0.00345423	0.00168201	0.000749099	0.00349786	0.00243562	0.000963459	0.00043581	0.000568645	0.00219336	0.000863241	0.000300119	0.0009095	4.84035e-05	0.000346577	0.00163021	0.00181234	0.000544821	0.17385	0.540582	0.10927	0.176298	0.00337791	0.0623326	0.420701	2.37699	16.043	296.041	4.114622	0.0228364	0.00403634	0.0105324	0.0318019	0.0615615	0.00638269	0.0731873	0.00170997	0.0228321	0.0104216	0.0419021	0.0180643	0.106964	0.0520852	0.0231966	0.108315	0.0754214	0.0298345	0.0134953	0.0176086	0.0679197	0.0267311	0.00929347	0.0281636	0.00149886	0.0107321	0.0504809	0.056121	0.0168709	0.0322935
180	-533.2563	-562.5991	29.34283	0.275602	0.438116	0.561884	0.724398	3.625865	0.00116574	0.00147517	0.000513351	0.00216595	0.0145686	0.00222557	0.00139423	0.000374847	0.00105301	0.000671477	0.00281074	0.000542793	0.010207	0.00713113	0.00121037	0.00401753	0.000408541	0.00364278	0.00844843	0.00290838	0.0094898	0.00732253	0.00505853	0.00652083	0.0023549	0.00046885	0.00340345	0.00554949	0.00187961	0.441936	0.131608	0.308417	0.11804	0.0100427	0.106047	0.496562	2.01385	9.42978	99.5744	3.326771	0.0106965	0.0135357	0.00471035	0.0198741	0.133677	0.0204211	0.012793	0.00343948	0.00966209	0.00616126	0.0257905	0.00498049	0.0936562	0.0654331	0.011106	0.0368636	0.00374864	0.033425	0.0775202	0.0266864	0.0870755	0.0671892	0.0464154	0.0598331	0.0216078	0.00430202	0.031229	0.0509204	0.0172467	0.1089837
216	-531.8246	-562.3195	30.49493	0.172837	0.399445	0.600555	0.827163	1.472543	0.00152221	0.00348805	0.00266597	0.00207612	0.00710006	0.000440941	0.00272418	0.00045006	0.0020729	8.91148e-06	0.00403597	0.00153033	0.0029275	0.00308537	0.00135356	0.0104778	0.00042483	0.0038392	0.00299337	0.000973043	0.00353801	0.00265948	0.00167914	0.00583518	0.0040017	0.000348608	0.004823	0.00380462	0.0015898	0.24051	0.215424	0.506727	0.0373391	0.00911508	0.101151	0.489293	2.04377	9.88621	109.708	3.396851	0.0184578	0.0422949	0.0323266	0.0251742	0.0860928	0.00534669	0.0330324	0.00545726	0.0251352	0.000108057	0.0489388	0.0185562	0.0354977	0.0374121	0.0164127	0.12705	0.00515134	0.0465527	0.0362966	0.0117988	0.0429006	0.0322479	0.0203607	0.0707553	0.0485231	0.0042271	0.0584819	0.0461334	0.0192774	0.0824699
252	-536.7682	-567.5095	30.74129	0.257847	0.432269	0.567731	0.742153	3.055412	0.0132913	0.0252449	0.0584674	0.0530606	0.129216	0.033248	0.0699793	0.0100469	0.00617048	0.0568221	0.0823502	0.0320171	0.0777882	0.112314	0.00436387	0.102081	0.144141	0.198299	0.0731798	0.104017	0.0447404	0.00788766	0.00592318	0.0711037	0.0317218	0.0685247	0.0859588	0.00092711	0.0153194	0.298664	0.433712	0.157328	0.110297	0.0843457	0.299391	0.68643	1.45681	3.34012	11.856	1.788027	0.00773556	0.0146926	0.0340282	0.0308814	0.0752043	0.0193504	0.0407282	0.0058473	0.00359124	0.0330706	0.047928	0.0186341	0.0452729	0.0653673	0.00253979	0.0594114	0.0838903	0.11541	0.0425909	0.0605381	0.026039	0.00459064	0.0034473	0.0413825	0.0184622	0.0398815	0.0500283	0.00053958	0.00891593	1.718205
288	-535.326	-565.2397	29.91363	0.301558	0.446253	0.553748	0.698441	4.748708	0.00842002	0.0262415	0.0189944	0.011444	0.0520646	0.00253994	0.102171	0.0325674	0.0479706	0.0235946	0.201234	0.0438888	0.0278499	0.0295879	0.0527465	0.171484	0.0355941	0.074184	0.0667373	0.0323752	0.0651972	0.0225874	0.0216069	0.0209315	0.0525666	0.0103623	0.110889	0.0180267	0.0032116	0.219367	0.0406037	0.619226	0.120803	0.0480011	0.227427	0.630009	1.58728	4.39701	20.8328	2.195621	0.00607037	0.0189187	0.0136939	0.00825049	0.0375357	0.00183115	0.0736598	0.0234793	0.0345842	0.0170104	0.145078	0.0316414	0.0200782	0.0213312	0.0380273	0.123631	0.0256614	0.0534826	0.0481139	0.0233407	0.0470036	0.0162843	0.0155774	0.0150904	0.0378976	0.00747067	0.0799447	0.0129962	0.00231538	1.387069
324	-530.9767	-561.9918	31.01506	0.174672	0.40027	0.59973	0.825328	1.494589	0.0600249	0.0467409	0.0667604	0.0116424	0.0653941	0.000373349	0.145941	0.0124811	0.0272621	0.0708026	0.117034	0.116605	0.1091	0.198496	0.0419617	0.239711	0.0265438	0.0872062	0.106329	0.0727594	0.115223	0.000833773	0.0273963	0.0959347	0.20678	0.0270196	0.0565014	0.0685139	0.000180447	0.201406	0.290676	0.463398	0.0445197	0.0749961	0.282718	0.674268	1.48309	3.53709	13.334	1.872979	0.0270193	0.0210398	0.0300513	0.00524067	0.0294362	0.000168058	0.0656933	0.0056182	0.0122716	0.0318708	0.0526811	0.0524881	0.0491098	0.0893501	0.0188885	0.107903	0.0119483	0.0392546	0.0478624	0.0327516	0.051866	0.000375311	0.0123321	0.0431837	0.093079	0.0121625	0.0254333	0.0308405	8.12254e-05	2.221552
