Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-533.868	-563.4158	29.54773	0.201652	0.411693	0.588307	0.798348	1.864779	0.0912639	0.104892	0.181853	0.0181386	0.271183	0.0494985	0.394463	0.0320001	0.00663124	0.0314714	0.205282	0.0216104	0.341145	0.0952477	0.0972419	0.128399	0.0986819	0.0110281	0.198428	0.000805624	0.0831529	0.0339783	0.20046	0.0431341	0.300296	0.285711	0.0954299	0.0757681	0.00596735	0.485221	0.307781	0.148945	0.0580527	0.276672	0.534374	0.822418	1.21593	1.87135	3.61439	0.9290872	0.0260519	0.0299422	0.0519112	0.00517778	0.0774108	0.0141297	0.112602	0.00913464	0.00189293	0.00898371	0.0585992	0.00616883	0.0973819	0.027189	0.0277583	0.0366524	0.0281694	0.00314805	0.0566425	0.00022997	0.0237365	0.00969932	0.0572225	0.0123129	0.0857214	0.081558	0.0272411	0.0216285	0.00170342	3.503163
36	-544.3286	-571.8124	27.48376	0.260619	0.433199	0.566801	0.739381	3.13627	0.011289	0.0921788	0.318857	0.0214163	0.117032	0.0441679	0.170475	0.0589394	0.0237167	0.0291665	0.662306	0.107954	0.244709	0.11701	0.0246463	0.508429	0.0547708	0.00110476	0.621719	0.0016479	0.049974	0.0493807	0.223272	0.0770763	0.101819	0.327231	0.0792103	0.0628504	0.157851	0.361881	0.125974	0.397914	0.114231	0.409658	0.647108	0.873028	1.14544	1.54534	2.44106	0.6452899	0.00258911	0.021141	0.073129	0.00491177	0.0268409	0.0101298	0.0390979	0.0135176	0.00543936	0.00668926	0.151898	0.0247589	0.0561234	0.026836	0.00565256	0.116607	0.0125615	0.000253374	0.14259	0.000377941	0.0114614	0.0113253	0.0512069	0.0176772	0.0233519	0.0750496	0.0181667	0.0144146	0.0362026	4.360201
72	-534.9636	-565.2853	30.3217	0.241936	0.426795	0.573205	0.758064	2.639951	0.0188278	0.0247487	0.0391597	0.00810927	0.000502734	0.00528957	0.172095	0.054943	0.0757315	0.0492304	0.258305	0.0483905	0.151967	0.0358772	0.0145482	0.115497	0.03005	0.000493368	0.0545908	0.0634917	0.130744	0.139976	0.105098	0.00952236	0.0559192	0.022237	0.0110785	0.189158	0.134702	0.292405	0.482611	0.0388509	0.186132	0.0610194	0.255664	0.653437	1.53037	3.91138	16.3882	2.022108	0.00931939	0.0122501	0.0193833	0.00401392	0.000248843	0.00261823	0.0851836	0.0271957	0.0374856	0.0243681	0.127856	0.0239523	0.0752206	0.0177585	0.00720109	0.0571687	0.0148741	0.000244207	0.0270213	0.0314271	0.0647159	0.0692854	0.0520213	0.00471338	0.0276789	0.0110069	0.00548363	0.0936295	0.0666746	2.020284
108	-529.8546	-559.8017	29.94706	0.316963	0.450886	0.549115	0.683036	5.650896	0.00160961	0.00281133	0.0638398	0.0186157	0.00827048	0.0149776	0.0414702	0.0173767	0.0254601	0.026421	0.0163039	0.0359253	0.0358951	0.0709578	0.0012585	0.0936675	0.0641837	0.00108544	0.0080441	0.0323076	0.0418651	0.0394404	0.0152155	0.0073546	0.0330938	0.0015445	0.0711696	0.106499	0.06408	0.114791	0.406978	0.100688	0.377543	0.0435272	0.21683	0.6207	1.61108	4.6119	22.9741	2.266365	0.00167538	0.00292621	0.0664483	0.0193763	0.00860841	0.0155896	0.0431647	0.0180867	0.0265004	0.0275005	0.01697	0.0373933	0.0373618	0.0738571	0.00130992	0.0974947	0.0668062	0.00112979	0.00837278	0.0336277	0.0435757	0.0410519	0.0158372	0.00765511	0.034446	0.00160761	0.0740775	0.110851	0.0666983	0.9607441
144	-538.8954	-569.6336	30.73829	0.202598	0.412072	0.587929	0.797402	1.879538	0.0311659	0.0349406	0.18344	0.0172621	0.157924	0.032983	0.140534	0.0230993	0.0596018	0.0842916	0.320439	0.141605	0.18065	0.117712	0.142527	0.169901	0.100458	0.13346	0.15794	0.0149772	0.0428322	0.00210337	0.103602	0.106282	0.0781996	0.219562	0.0023048	0.0138186	0.0205524	0.232619	0.57447	0.188502	0.00440842	0.307317	0.562464	0.835669	1.19665	1.77789	3.25397	0.8531313	0.0109965	0.0123283	0.0647246	0.00609073	0.0557213	0.0116376	0.0495856	0.0081503	0.0210298	0.0297412	0.113063	0.0499636	0.0637401	0.041533	0.0502887	0.0599476	0.0354452	0.0470896	0.055727	0.00528453	0.0151128	0.000742148	0.0365545	0.0375003	0.0275918	0.0774698	0.00081322	0.00487573	0.00725165	2.834167
180	-546.0296	-577.1684	31.13886	0.236039	0.424703	0.575297	0.763962	2.504441	0.00918371	0.0378932	0.0485695	0.0129721	0.0415027	0.00402904	0.0835219	0.024996	0.00495697	0.0203362	0.0454367	0.00714358	0.0450425	0.00577728	0.000524419	0.00519987	0.0664653	0.0646073	0.0400816	0.0526439	0.00431921	0.00308999	0.055099	0.000512813	0.0451695	0.0525258	0.035248	0.106637	0.0209933	0.183061	0.322822	0.456025	0.038092	0.0243978	0.163496	0.568367	1.75943	6.11636	40.9872	2.684943	0.00972358	0.0401207	0.0514246	0.0137347	0.0439424	0.00426589	0.0884317	0.0264654	0.00524837	0.0215316	0.0481077	0.00756351	0.0476903	0.0061169	0.000555247	0.00550554	0.0703725	0.0684053	0.0424378	0.0557385	0.00457311	0.00327164	0.058338	0.000542959	0.0478248	0.0556135	0.03732	0.112906	0.0222274	0.9444788
216	-539.1952	-570.2884	31.09325	0.204208	0.412713	0.587286	0.795792	1.904978	0.00480695	0.143721	0.0445266	0.00699899	0.0380377	0.0182313	0.147813	0.0236834	0.0251657	0.0494702	0.108895	0.182481	0.0674153	0.0485007	0.00365866	0.122679	0.05272	0.00627269	0.144699	0.0466046	0.00463738	0.0997544	0.0920959	0.0243993	0.0105521	0.0204314	0.0468386	0.0261915	0.0330254	0.387106	0.190397	0.384161	0.0383361	0.0407628	0.210001	0.614534	1.62725	4.76187	24.5322	2.31381	0.00292339	0.0874055	0.0270792	0.0042565	0.023133	0.0110875	0.0898936	0.0144033	0.0153048	0.0300857	0.0662252	0.110977	0.0409993	0.0294961	0.00222505	0.0746085	0.0320622	0.00381479	0.088	0.028343	0.00282026	0.0606666	0.056009	0.0148386	0.00641735	0.0124255	0.0284854	0.0159286	0.0200847	1.644306
252	-548.2248	-569.685	21.46019	0.411765	0.477216	0.522782	0.588237	25.57421	0.00302777	0.226512	0.0285182	0.0174183	0.210532	0.0876714	0.501576	0.175087	0.140348	0.0160295	0.0482446	0.224959	0.100743	0.35619	0.00632218	0.179347	0.0404232	0.339023	0.510539	0.0307202	0.00354056	0.188698	0.116152	0.0621939	0.0307372	0.0869196	0.147537	0.121984	0.219543	0.548618	0.044327	0.181068	0.225987	0.128484	0.367607	0.731826	1.36645	2.7203	7.78306	1.483701	0.00071739	0.053669	0.00675701	0.00412703	0.0498828	0.0207726	0.118842	0.0414845	0.0332535	0.00379797	0.0114309	0.0533011	0.0238698	0.0843946	0.00149796	0.042494	0.00957773	0.080327	0.120965	0.00727875	0.000838889	0.0447094	0.0275207	0.014736	0.00728277	0.0205944	0.0349569	0.0289024	0.0520177	4.220537
288	-534.0009	-563.7143	29.71345	0.233287	0.423713	0.576287	0.766714	2.4442	0.0152153	0.0832135	0.0545526	0.00656186	0.0839526	0.0113814	0.0878606	0.0127807	0.0312095	0.0166009	0.080712	0.243188	0.316915	0.0799643	0.0281936	0.227986	0.0604733	0.0445298	0.0930224	0.183612	0.000844935	0.158687	0.0925519	0.068381	0.132561	0.0579245	0.10932	0.0136769	0.0704713	0.0722219	0.72991	0.189872	0.00799629	0.0573609	0.24807	0.647319	1.54483	4.03112	17.4335	2.066815	0.00616918	0.0337396	0.0221188	0.00266056	0.0340393	0.00461468	0.0356238	0.00518203	0.0126541	0.00673096	0.0327253	0.0986028	0.128496	0.0324222	0.0114313	0.0924388	0.0245194	0.018055	0.0377167	0.0744471	0.000342586	0.0643411	0.0375259	0.0277257	0.0537479	0.023486	0.0443247	0.00554542	0.0285732	2.466345
324	-535.8156	-565.4824	29.66675	0.296625	0.44474	0.555259	0.703375	4.502019	0.0146871	0.032537	0.0198425	0.0026808	0.0999974	0.0144562	0.121301	0.0153963	0.0613746	0.0231024	0.0398006	0.117818	0.141432	0.0575246	0.035326	0.4142	0.038021	0.00187167	0.0506113	0.14383	0.00901758	0.0673667	0.0818033	0.0574984	0.136017	0.0270248	0.0487008	0.0276246	0.0227871	0.274802	0.521331	0.0465007	0.157366	0.0819463	0.295206	0.683422	1.46322	3.38746	12.2031	1.808895	0.00763503	0.0169142	0.010315	0.0013936	0.0519832	0.00751499	0.0630576	0.00800368	0.0319052	0.0120097	0.0206901	0.0612471	0.0735228	0.0299039	0.0183641	0.21532	0.019765	0.000972977	0.02631	0.0747693	0.00468774	0.0350202	0.042525	0.0298902	0.0707078	0.0140487	0.0253169	0.0143605	0.0118457	1.923651
